stamp,sample_frame_count,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint7_velocity,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort,joint1_effort_stddev,joint2_effort_stddev,joint3_effort_stddev,joint4_effort_stddev,joint5_effort_stddev,joint6_effort_stddev,joint7_effort_stddev
1785211907.7506378,51,0.18020224571228027,-0.23185253143310547,-0.7200894355773926,-0.5832488536834717,1.20487642288208,-0.6922996044158936,0.7768189907073975,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.07823985230688955,2.6060470132266773,-7.485072827806659,0.05899573307411343,-1.6096098095762963,-0.10022266705830891,-0.018631051568424,0.004883780750316217,0.0044505282493878945,0.004017754734939449,0.002995505255564281,0.005806199774763419,0.0017470620172002568,0.0012751564862634036
1785211912.1506064,37,0.17157769203186035,-0.13243634636337692,-0.764980277499637,-0.6674237186844284,1.3890424193562687,-0.7878490911947714,0.6835406213193327,0.012210845947265625,-0.012210845947265625,-0.00891061731286951,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.009306160179344384,0.021252193966427364,1.7422698768409524,-7.064779204291266,-0.144164008063239,-0.9287199071935706,-0.2064944215722986,0.11034553115432327,0.013252691880580848,0.3431576812375185,0.2191901140482905,0.06559537134203106,0.08740643896627265,0.016533180349481993,0.03522554946288571
1785211936.5506387,51,-1.1519801616668701,0.13842153549194336,-0.5874655246734619,-0.28235316276550293,1.5700719356536865,0.14139223098754883,0.09616208076477051,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-0.21326828002929688,-1.2316309984992533,-7.409035589180741,-0.3006678936528225,-0.9827621310364967,0.3033972534478879,-0.026761452356974285,0.0068840804806493214,0.0064664676281516046,0.0043253471726576245,0.0036157046906835732,0.003119772855737983,0.0009733862812451534,0.00208402984533933
1785211956.2506154,51,-0.9906079769134521,-0.22380304336547852,-0.568108320236206,-0.12720990180969238,1.4552620976578956,0.021512985229492188,0.10392403602600098,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.4371668871711282,2.806386723237879,-7.506715681038651,-0.688687661114861,-0.850808255812701,0.041298562405156156,0.000732576145845301,0.004256750116450829,0.0038779893359416977,0.0043253471726576245,0.0045816583117877195,0.004027753982733212,0.002713985809580197,0.0012310153863102635
1785211965.850598,51,-2.2483327388763428,-0.019404888153076172,0.16841530799865723,-0.09798264503479004,0.006659746170043945,-1.3164187669754028,-0.06041884422302246,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.02039785946116728,0.31056493871352253,-7.44523463529699,0.7404870612948549,-1.0193927054311716,-0.6600732102113611,-0.018458642211614872,0.004807119925870336,0.004451397323445576,0.004450962786416735,0.0035850870300195357,0.003501056746438965,0.0014507419382998995,0.0015147989864673626
1785211976.750611,52,-2.3088953495025635,0.033683061599731445,0.21853280067443848,-0.11221105318803054,-0.12232279777526855,-1.1625211238861084,-0.23223590850830078,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.5105667114257812,0.3877143859863281,-6.53836780328017,1.0171598837925837,-1.1655116814833422,-0.3133840194115272,0.04294163447159987,0.004116109612599095,0.0038502679841881577,0.008133962477762975,0.003581665473752554,0.0036455236776416346,0.0011549179732445165,0.0016764731570674907
1785211987.4506078,51,-2.2929885387420654,-0.0027310848236083984,0.27938270568847656,-0.00943899154663086,-0.18141979329726277,-1.2061221599578857,-0.2661585807800293,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.06234269983628217,0.5850269841212853,-7.37494317223044,0.18560675078747318,-1.2876102410110772,-0.7117862093682382,0.017855321659761315,0.005348869268689679,0.004769746798414214,0.004882827259345831,0.003490266129536279,0.003047134506458205,0.0015969789000909434,0.0025210044153883707
1785211992.450606,51,-2.2758352756500244,-0.1173398494720459,0.503521203994751,0.029831213109633502,-0.29041228574865,-1.2383201122283936,-0.39945363998413086,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.4444446563720703,2.5505042356603287,-6.144940095789292,0.5705237295113358,-0.7951302060893938,-0.73160953615226,0.15495222690058688,0.0,0.004768815571003357,0.004807119925870336,0.004791083034156606,0.002897182414899907,0.0026704299600142966,0.00308219344394063
1785212011.7506018,51,2.3008460998535156,0.04393649101257324,0.02965831756591797,0.09597978872411392,0.16568540124332204,1.215608835220337,0.1088111400604248,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.0985419329474954,-1.184898152070887,-8.299073368895288,-0.777979196286669,-1.1306617587220436,0.4824678430370256,0.031099618649950214,0.004807119925870336,0.0038779893359416977,0.005349200699744369,0.002935388668305445,0.0044450580507518645,0.0010977368577748156,0.002917138327551599
1785212018.2506094,51,2.3008460998535156,0.04249930381774902,0.02965831756591797,0.11657309532165527,0.16573238372802734,1.2119677066802979,0.49834656715393066,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.06732222613166361,-0.8508696836583755,-8.299839431164312,-1.1592760273054534,-1.0823097042008942,0.5289233525594076,0.013430988087373622,0.004768815571003357,0.004768815571003357,0.003878367971885453,0.0038525206203709915,0.0043592405302627655,0.0013096374049100606,0.002540593178730221
1785212033.350634,51,2.248332977294922,-0.1351635456085205,0.5199074745178223,-0.026774308260749367,-0.07095980644226074,1.2751171588897705,0.8039376735687256,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.3701309877283433,2.0630606109020757,-5.875649470908969,-0.775393336426978,-1.2942467857809627,0.5130359892751656,-0.054341760336184035,0.004768815571003357,0.006206346025067686,0.005959012042305388,0.0036160122586253556,0.003735226360126658,0.0021287047955942753,0.002095891133583509
1785212059.8506095,51,2.3064041137695312,0.04690718650817871,0.10028243064880371,-0.002347707748413086,0.11963963508605957,1.1735413074493408,-2.6027958393096924,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.16806759553797104,0.04778716143439798,-7.1941393870933386,-0.9998277215396657,-1.717259070452522,0.4627019751305674,-0.10999062014561073,0.00620596513870588,0.004768815571003357,0.0043253471726576245,0.005292005545742726,0.0027121529416543632,0.0015969789000909434,0.0022893360831831417
1785212067.9506106,52,2.2453622817993164,-0.07469701766967773,0.415360689163208,-0.05353744213397686,-0.03004169464111328,1.2373616695404053,-2.4141130447387695,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.24626691524799055,0.7923362438495343,-6.6606556085439825,-0.7894336443680984,-1.203804034453172,0.6479289348308856,0.027303461845104512,0.004425150096942087,0.004751946052469773,0.00475241001908298,0.004067044730158788,0.005974173074000312,0.0014463744161579122,0.002092500700779265
1785212144.150661,51,-2.287238836288452,-0.061089515686035156,0.2825448513031006,-0.13315129280090332,-0.27918162065393787,-1.3466999530792236,2.8741767406463623,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.3203338174258961,0.7491684333950865,-6.989968599057665,0.11200201745126762,-0.8077997693828508,-0.450779260373583,0.030697397157257677,0.0044505282493878945,0.005809472647387498,0.005210230061771537,0.0038427736916442218,0.0023162022031317534,0.0013723982723779632,0.0014009936228951102
1785212152.1506264,51,-2.276409864425659,-0.1744523048400879,0.5403187274932861,-0.11201087166281308,-0.3896791934967041,-1.332532667646221,2.7058093547821045,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.052383647245519305,2.1574854383281634,-5.486461246714873,0.7704803242402918,-1.61021313012815,-0.30612654779471604,0.03227752797743853,0.0054776128535215,0.006404159406459014,0.0037239426429856084,0.0037253650651180538,0.0034498734595840626,0.007639653612345212,0.001975436601753926
1785212178.350628,51,-0.002443552017211914,1.1684625148773193,-0.10315752029418945,-0.005624490625718061,0.522677084978889,-0.0010061264038085938,-0.004072666168212891,0.012210845947265625,-0.012210845947265625,-0.012210845947265625,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,0.06713089288449754,-7.7578110227397845,-6.777945387597177,-0.029777732549929152,-0.900797077253753,0.0784744468389773,0.17339655464770748,0.00772793571750638,0.006206320043685641,0.004769281184708786,0.0027633326986175,0.0021769425000924595,0.0016771650970214549,0.0015990752393605135
