stamp,sample_frame_count,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint7_velocity,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort,joint1_effort_stddev,joint2_effort_stddev,joint3_effort_stddev,joint4_effort_stddev,joint5_effort_stddev,joint6_effort_stddev,joint7_effort_stddev,j2j3_effort_derivative
1785214850.050599,51,0.05323171615600586,0.2808201313018799,0.21014551401138304,0.07679571824915268,0.3989744186401367,4.792213439941406e-05,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,1.0558003273396096e-16,4.529037691054815,-7.170802826710744,-0.06557341717915746,-1.4530790688005188,-0.023326464156118023,-0.08724163475942062,1.650722139382498e-17,2.1690738966620796e-07,2.1690738958747313e-07,2.7323188487346498e-05,3.1680751765876587e-06,2.3079383875371344e-05,2.2029517279919906e-05,0.986
1785214853.4506075,42,0.06195187568664551,0.11091923713684082,0.2060074315071106,0.07680511474609375,0.3989744186401367,0.0001437664031982422,-0.012122154235839844,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,5.117599465891198e-17,6.037416432171544,-7.092290590230657,-0.06550320614961251,-1.4006795483226082,-0.009320906227102296,-0.08124226147799933,1.386204442463205e-17,3.911621327248834e-08,3.911621327248834e-08,2.3322589150917242e-05,1.3167733499664434e-07,1.1106636801512805e-05,2.0628068012163534e-05,0.986
1785214856.5507505,51,0.06195187568664551,0.1112067699432373,-0.017272493839263922,0.07680511474609375,0.3989744186401367,4.792213439941406e-05,-0.012217998504638672,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-3.047671047990641e-19,6.094301686286739,-7.151900177944826,-0.06519497460682384,-1.4620230785938764,-0.02807642167647531,-0.08877964436788273,7.402287121352024e-18,4.0447112469162445e-07,4.0447112469162445e-07,3.0664930598534365e-05,9.930434836732238e-08,8.244194797507905e-06,2.980300625034017e-05,0.986
1785214860.7505927,52,0.06195187568664551,0.1112067699432373,-0.016984961032867438,0.07680511474609375,-0.1933302879333496,-0.0001437664031982422,-0.012217998504638672,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-8.333077817523052e-17,5.9077809792757,-6.965379470933788,-0.13012082302692501,-1.275224922599422,-0.081197836884215,-0.08742370023107787,6.016365740300771e-17,1.1280619849948664e-07,1.1280619849948664e-07,1.833728759898922e-05,6.88883556831195e-08,5.844381019209263e-06,1.7541202786993368e-05,0.986
1785214864.3506513,51,0.0001437664031982422,-0.004647493362426758,-0.0075052018165588374,0.0034017562866210938,-0.002347707748413086,-0.0002396106719970703,-0.0051267147064208984,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-8.080409979471576e-18,7.2078774147588165,-7.163154568879529,-0.09012115818476708,-1.4413626102366983,-0.0028193045504832305,-0.09106744825470697,3.4436738474623027e-19,7.760759195185819e-09,7.760759195185819e-09,3.485784799344199e-05,7.421852884037304e-09,1.8147535192486967e-07,3.485751878307641e-05,0.986
1785214868.95066,51,0.0001437664031982422,-0.00503087043762207,-0.09930171632766724,0.0034017562866210938,-0.21000409126281738,-0.00033545494079589844,-0.0075225830078125,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-2.795898044673364e-17,7.043949526003465,-6.995571777873631,-0.09060983822771812,-1.2916599733751366,-0.029750245957742828,-0.0868557179451163,8.47765625656148e-18,4.651327913517704e-08,4.651327913517704e-08,2.8699075565147463e-05,5.574375775619353e-08,8.636464345550488e-06,2.7502901763375874e-05,0.986
1785214889.2505965,51,0.620525598526001,0.6009767055511475,0.367610095500946,-0.027358531951904297,-0.2910359747269574,-0.8607628345489502,0.002251863479614258,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-1.1537611824535941e-16,1.1618683341629177,-6.552257045788513,0.46547249685468545,-0.9634525478520825,0.24354227738669082,-0.07506252111825952,9.317572665072282e-17,4.670406849101821e-05,4.6704068490194045e-05,1.463495077378556e-05,4.67417097462904e-05,2.111919922608872e-05,2.0481529407065755e-05,0.986
1785214915.4506383,51,0.45484113693237305,0.42992615699768066,0.18275943422317503,-1.3159396648406982,0.18058538436889648,-1.381005883216858,0.5129122734069824,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,-2.3959048252989164e-16,2.7189087521379194,-6.692150883872782,0.21306826991634828,-0.23143011222860368,0.33727389517376755,-0.036332567804788586,3.301444278764996e-17,1.0219995738204147e-05,1.0219995738204147e-05,8.909686920825623e-06,4.752059505504225e-06,1.0771734188647946e-05,6.00434183733729e-06,0.986
1785214920.4505804,51,0.15231657028198242,0.21134567260742188,-0.09677321243286134,-1.4433120068381815,0.25092220306396484,-1.3911635875701904,0.7436628341674805,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,7.76285354081041e-17,4.6156479218740785,-6.615150286547581,0.050629715364501136,-0.12869961567348007,0.3694590392263066,-0.0365041582583918,5.124970117381332e-17,9.517833056744098e-06,9.517833056851294e-06,3.132899077969496e-05,3.440416968071345e-05,1.5324488563608736e-05,7.830996936322923e-06,0.986
1785214924.3506653,51,0.00033545494079589844,-0.02141714096069336,-0.4254578065872192,-1.5347119569778442,0.2862820625305176,-1.4783657789230347,0.8599963188171387,0.012210845947265625,-0.012210845947265625,-0.02425074005126953,-0.012210845947265625,0.012210845947265625,-0.0073261260986328125,-0.0073261260986328125,6.680113978314452e-17,6.609108779065689,-6.404527141891086,-0.029966744450531754,-0.05286249436396117,0.3795717620750435,-0.0367869727102203,3.0951040113421837e-18,5.109789720963764e-06,5.109789720963764e-06,1.1723321155475048e-05,5.193554710794512e-06,8.035679621110503e-06,6.081014805387374e-06,0.986
